eventID;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;startDayOfYear;eventRemarks;country;countryCode;locality;locationID;decimalLatitudeSTART;decimalLongitudeSTART;geodeticDatum;coordinateUncertaintyInMeters;type;ownerInstitutionCode
SMidT-Sweep-1;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;13:20;256;Overcast, Semi-improved acidic grassland;Scotland;GB-SCT;Lochranza, Isle of Arran;SMidT;55.698429;-5.285998;WGS84;8;Event;
SMidT-Sweep-2;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;13:40;256;Overcast, Sphagnum acidic grass tormentil soft rush deer grass;Scotland;GB-SCT;Lochranza, Isle of Arran;SMidT;55.696893;-5.284945;WGS84;8;Event;
SMidT-Sweep-3;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;13:50;256;Drizzle, Dense Dead Bracken, Sheet bog;Scotland;GB-SCT;Lochranza, Isle of Arran;SMidT;55.696138;-5.284276;WGS84;8;Event;
SMidT-Sweep-4;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;14:10;256;Drizzle, Near a stream, Deer grass, Heather, Bent Grass;Scotland;GB-SCT;Lochranza, Isle of Arran;SMidT;55.695572;-5.283606;WGS84;8;Event;
SMidT-Sweep-5;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;14:25;256;Drizzle, Sheet Bog. Fallen Birch;Scotland;GB-SCT;Lochranza, Isle of Arran;SMidT;55.69549;-5.282205;WGS84;8;Event;
NMidT-Sweep-1;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;10:00;257;Calm, Sunny, Smei-natural acidic grassland, patches of heather bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.702633;-5.270307;WGS84;8;Event;
NMidT-Sweep-2;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;10:20;257;Calm, Sunny, Smei-natural acidic grassland, patches of heather bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.70301;-5.273799;WGS84;8;Event;
NMidT-Sweep-3;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;10:35;257;Overcast, Bracken mostly, semi-acidic grassland;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.704493;-5.275474;WGS84;8;Event;
NMidT-Sweep-4;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;10:50;257;Windy, Drizzle, Smei-natural acidic grassland, patches of heather bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.70584;-5.278009;WGS84;8;Event;
NMidT-Sweep-5;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;11:00;257;Windy, Drizzle, Bracken, hathorn;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.706864;-5.279253;WGS84;8;Event;
NMidT-Sweep-6;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;11:15;257;Windy, Drizzle, Smei-natural acidic grassland, patches of heather bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.707511;-5.2821;WGS84;8;Event;
NMidT-Sweep-7;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;16:40;257;Sunny, Bracken;Scotland;GB-SCT;Lochranza, Isle of Arran;NMidT;55.701852;-5.268394;WGS84;8;Event;
NHighT-Sweep-1;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;14:10;257;Strong Wind, Sunny, Dense Heather;Scotland;GB-SCT;Lochranza, Isle of Arran;NHighT;55.70867;-5.276892;WGS84;8;Event;
NHighT-Sweep-2;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;14:20;257;Strong Wind, Sunny, Heather;Scotland;GB-SCT;Lochranza, Isle of Arran;NHighT;55.706838;-5.275091;WGS84;8;Event;
NHighT-Sweep-3;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;15:40;257;Strong Wind, Sunny, Semi imporved grassland acidic, heather, rhododendron, Bog;Scotland;GB-SCT;Lochranza, Isle of Arran;NHighT;55.704924;-5.272508;WGS84;8;Event;
NHighT-Sweep-4;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;16:00;257;Sunny, Rush, bog;Scotland;GB-SCT;Lochranza, Isle of Arran;NHighT;55.706514;-5.271503;WGS84;8;Event;
NHighT-Sweep-5;SweepNet;5 Minutes walk along transect;16;Sweep;14/09/2023;16:15;257;Sunny, Rush, Deer grass, Heather;Scotland;GB-SCT;Lochranza, Isle of Arran;NHighT;55.707969;-5.270068;WGS84;8;Event;
SHighT-Sweep-1;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;13:20;256;Cloudy, Grassland semi-improved acidic;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
SHighT-Sweep-2;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;13:30;256;Cloudy,Braken;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
SHighT-Sweep-3;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;13:45;256;Cloudy,Braken;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
SHighT-Sweep-4;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;14:05;256;Cloudy,Scrub;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
SHighT-Sweep-5;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;14:15;256;Cloudy,Scrub;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
SHighT-Sweep-6;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;14:30;256;Slight Drizzle,Scrub with grass understory;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
SHighT-Sweep-7;SweepNet;5 Minutes walk along transect;16;Sweep;13/09/2023;14:45;256;Slight Drizzle, Braken;Scotland;GB-SCT;Lochranza, Isle of Arran;SHighT;;;;;Event;
