Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records;Invasive
Calluna vulgaris;(L.) Hull;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;Calluna vulgaris;3;
Caltha palustris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Caltha;Caltha palustris;1;
Campanula rotundifolia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula;Campanula rotundifolia;1;
Cardamine flexuosa;With.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;Cardamine flexuosa;3;
Cardamine pratensis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;Cardamine pratensis;3;
Carduelis carduelis;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Carduelis;Carduelis carduelis;1;
Carex binervis;Sm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex binervis;4;
Carex caryophyllea;Latourr.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex caryophyllea;2;
Carex echinata;Murray;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex echinata;1;
Carex flacca;Schreb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex flacca;1;
Carex leporina;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex leporina;1;
Carex nigra;(L.) Reichard;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex nigra;3;
Carex panicea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex panicea;3;
Carex pilulifera;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex pilulifera;3;
Carex pulicaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex pulicaris;1;
Carex remota;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex remota;1;
Carex viridula subsp. oedocarpa;(Andersson) B. Schmid;SUBSPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex viridula;3;
Centaurea nigra sens. lat. (=nigra/debeauxii);;SPECIES_SENSU_LATO;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Centaurea;;2;
Cepphus grylle;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Cepphus;Cepphus grylle;1;
Cerastium fontanum;Baumg.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Cerastium;Cerastium fontanum;3;
Cerastium glomeratum;Thuill.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Cerastium;Cerastium glomeratum;1;
Ceratocapnos claviculata;(L.) Lidén;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Papaveraceae;Ceratocapnos;Ceratocapnos claviculata;2;
Cervus elaphus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus elaphus;9;
Charadrius hiaticula;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Charadriidae;Charadrius;Charadrius hiaticula;2;
Cheilotrichia cinerascens;(Meigen, 1804);SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Cheilotrichia;Cheilotrichia cinerascens;1;
Chrysosplenium oppositifolium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Saxifragaceae;Chrysosplenium;Chrysosplenium oppositifolium;1;
Cicindela campestris;Linnaeus, 1758;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Cicindela;Cicindela campestris;2;
Cirsium arvense;(L.) Scop.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cirsium;Cirsium arvense;3;
Cirsium palustre;(L.) Scop.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cirsium;Cirsium palustre;3;
Cirsium vulgare;(Savi) Ten.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cirsium;Cirsium vulgare;1;
Coloeus monedula;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Corvidae;Coloeus;Coloeus monedula;5;
Columba palumbus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba palumbus;1;
Conopodium majus;(Gouan) Loret;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Conopodium;Conopodium majus;1;
Corvus cornix;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus cornix;5;
Corvus corone;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus corone;2;
Corylus avellana;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Betulaceae;Corylus;Corylus avellana;1;
Cotoneaster integrifolius;(Roxb.) G. Klotz;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Cotoneaster;Cotoneaster integrifolius;2;
Crataegus monogyna;Jacq.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Crataegus;Crataegus monogyna;3;
Cuculus canorus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Cuculiformes;Cuculidae;Cuculus;Cuculus canorus;9;
Curruca communis;(Latham, 1787);SPECIES;Animalia;Chordata;Aves;Passeriformes;Sylviidae;Curruca;Curruca communis;2;
Cyanistes caeruleus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Paridae;Cyanistes;Cyanistes caeruleus;1;
Cygnus olor;(Gmelin, JF, 1789);SPECIES;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus;Cygnus olor;3;
Cynosurus cristatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Cynosurus;Cynosurus cristatus;1;
Cytisus scoparius;(L.) Link;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Cytisus;Cytisus scoparius;2;
Dactylis glomerata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Dactylis;Dactylis glomerata;3;
Dactylorhiza maculata;(L.) Soó;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Orchidaceae;Dactylorhiza;Dactylorhiza maculata;1;
Danthonia decumbens;(L.) DC.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Danthonia;Danthonia decumbens;1;
Dascillus cervinus;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dascillidae;Dascillus;Dascillus cervinus;1;
Delichon urbicum;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Delichon;Delichon urbicum;7;
Dendrocopos major;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Piciformes;Picidae;Dendrocopos;Dendrocopos major;1;
Deschampsia cespitosa;(L.) P. Beauv.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Deschampsia;Deschampsia cespitosa;1;
Digitalis purpurea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Digitalis;Digitalis purpurea;3;
Drosera rotundifolia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Droseraceae;Drosera;Drosera rotundifolia;3;
Dryopteris affinis subsp. affinis;(Lowe) Fraser-Jenk.;SUBSPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris affinis;1;
Dryopteris affinis;;SPECIES_SENSU_LATO;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;;1;
Dryopteris cambrensis subsp. cambrensis;(Fraser-Jenk.) Beitel & W.R. Buck;SUBSPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris cambrensis;1;
Dryopteris filix-mas;(L.) Schott;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris filix-mas;1;
Epilobium ciliatum;Raf.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium ciliatum;1;
Epilobium montanum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium montanum;4;
Epilobium obscurum;Schreb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium obscurum;1;
Epilobium palustre;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium palustre;1;
Erebia aethiops;(Esper, 1777);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Erebia;Erebia aethiops;1;
Erica cinerea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Erica;Erica cinerea;4;
Erica tetralix;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Erica;Erica tetralix;1;
Eriophorum angustifolium;Honck.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;Eriophorum angustifolium;1;
Erithacus rubecula;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Muscicapidae;Erithacus;Erithacus rubecula;5;
Euphrasia;L.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Euphrasia;;1;
Fagus sylvatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Fagaceae;Fagus;Fagus sylvatica;1;
Falco tinnunculus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;Falco tinnunculus;4;
Festuca rubra agg.;L.;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Festuca;;1;
Ficaria verna;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ficaria;Ficaria verna;1;
Filipendula ulmaria;(L.) Maxim.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Filipendula;Filipendula ulmaria;2;
Forficula auricularia;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Dermaptera;Forficulidae;Forficula;Forficula auricularia;1;
Fragaria vesca;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Fragaria;Fragaria vesca;2;
Fraxinus excelsior;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;Fraxinus excelsior;1;
Fringilla coelebs;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Fringilla;Fringilla coelebs;6;
Galium aparine;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium aparine;1;
Galium palustre;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium palustre;1;
Galium saxatile;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium saxatile;4;
Gavia immer;(Brünnich, 1764);SPECIES;Animalia;Chordata;Aves;Gaviiformes;Gaviidae;Gavia;Gavia immer;3;
Geranium robertianum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Geraniales;Geraniaceae;Geranium;Geranium robertianum;3;
Gulosus aristotelis;;SPECIES;Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Gulosus;Gulosus aristotelis;5;
Haematopus ostralegus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Charadriidae;Haematopus;Haematopus ostralegus;4;
Hedera helix;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hedera;Hedera helix;1;
Hedera helix;;SPECIES_SENSU_LATO;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hedera;;2;
Heracleum sphondylium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Heracleum;Heracleum sphondylium;2;
Hieracium;L.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;;2;
Hirundo rustica;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Hirundo;Hirundo rustica;6;
Holcus lanatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Holcus;Holcus lanatus;3;
Holcus mollis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Holcus;Holcus mollis;1;
Hyacinthoides non-scripta;(L.) Chouard ex Rothm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Asparagaceae;Hyacinthoides;Hyacinthoides non-scripta;3;
Hydrocotyle vulgaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle;Hydrocotyle vulgaris;2;
Hypericum androsaemum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum androsaemum;4;
Hypericum pulchrum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum pulchrum;4;
Hypericum tetrapterum;Fr.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum tetrapterum;2;
Hypochaeris radicata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hypochaeris;Hypochaeris radicata;1;
Ilex aquifolium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;Ilex aquifolium;1;
Iris pseudacorus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Iridaceae;Iris;Iris pseudacorus;1;
Isolepis setacea;(L.) R. Br.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Isolepis;Isolepis setacea;1;
Jacobaea;Mill.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Jacobaea;;4;
Juncus acutiflorus;Ehrh. ex Hoffm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus acutiflorus;1;
Juncus articulatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus articulatus;3;
Juncus bufonius agg.;L.;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;;1;
Juncus bulbosus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus bulbosus;3;
Juncus conglomeratus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus conglomeratus;1;
Juncus effusus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus effusus;3;
Juncus squarrosus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus squarrosus;1;
Juncus tenuis;Willd.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus tenuis;1;
Larus argentatus;Pontoppidan, 1763;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus argentatus;5;
Larus canus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus canus;4;
Larus fuscus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus fuscus;2;
Larus marinus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus marinus;1;
Lathyrus linifolius;(Reichard) Bässler;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lathyrus;Lathyrus linifolius;1;
Lathyrus pratensis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lathyrus;Lathyrus pratensis;2;
Limonia nubeculosa;Meigen, 1804;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Limonia;Limonia nubeculosa;1;
Linaria cannabina;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Linaria;Linaria cannabina;1;
Lolium perenne;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium perenne;1;
Lonicera periclymenum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Lonicera;Lonicera periclymenum;3;
Lotus corniculatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;Lotus corniculatus;3;
Lotus pedunculatus;Cav.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;Lotus pedunculatus;1;
Luzula campestris;(L.) DC.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula campestris;2;
Luzula multiflora;(Ehrh.) Lej.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula multiflora;1;
Luzula pilosa;(L.) Willd.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula pilosa;3;
Luzula sylvatica;(Huds.) Gaudin;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula sylvatica;1;
Lycaena phlaeas;(Linnaeus, 1761);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Lycaenidae;Lycaena;Lycaena phlaeas;1;
Lysimachia nemorum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;Lysimachia nemorum;2;
Mentha aquatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Mentha;Mentha aquatica;2;
Mergus serrator;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;Mergus serrator;6;
Molinia caerulea;(L.) Moench;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Molinia;Molinia caerulea;2;
Montia fontana;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Montiaceae;Montia;Montia fontana;2;
Morus bassanus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Pelecaniformes;Sulidae;Morus;Morus bassanus;5;
Motacilla alba yarrellii;Gould, 1837;SUBSPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;Motacilla alba;5;
Motacilla cinerea;Tunstall, 1771;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;Motacilla cinerea;1;
Myosotis laxa;Lehm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;;Boraginaceae;Myosotis;Myosotis laxa;1;
Nardus stricta;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Nardus;Nardus stricta;3;
Narthecium ossifragum;(L.) Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dioscoreales;Nartheciaceae;Narthecium;Narthecium ossifragum;1;
Oenanthe crocata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Oenanthe;Oenanthe crocata;1;
Oenanthe oenanthe;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Muscicapidae;Oenanthe;Oenanthe oenanthe;5;
Oreopteris limbosperma;(All.) Holub;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Thelypteridaceae;Oreopteris;Oreopteris limbosperma;4;
Oryctolagus cuniculus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Oryctolagus;Oryctolagus cuniculus;1;
Oxalis acetosella;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Oxalidales;Oxalidaceae;Oxalis;Oxalis acetosella;2;
Parus major;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Paridae;Parus;Parus major;1;
Passer domesticus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Passeridae;Passer;Passer domesticus;5;
Pedicularis sylvatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Pedicularis;Pedicularis sylvatica;3;
Periparus ater;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Paridae;Periparus;Periparus ater;1;
Phalacrocorax carbo;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax carbo;1;
Phasianus colchicus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Phasianus;Phasianus colchicus;1;
Phylloscopus trochilus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Phylloscopidae;Phylloscopus;Phylloscopus trochilus;4;
Pieris napi;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;Pieris napi;1;
Piezodorus lituratus;(Fabricius, 1794);SPECIES;Animalia;Arthropoda;Insecta;Hemiptera;Pentatomidae;Piezodorus;Piezodorus lituratus;1;
Pilosella officinarum;F.W. Schultz & Sch. Bip.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Pilosella;Pilosella officinarum;1;
Pinguicula vulgaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lentibulariaceae;Pinguicula;Pinguicula vulgaris;2;
Plantago lanceolata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago lanceolata;3;
Plantago major;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago major;1;
Plantago maritima;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago maritima;1;
Poa annua;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa annua;1;
Poa humilis;Ehrh. ex Hoffm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa humilis;2;
Poa pratensis;L.;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;;1;
Poa trivialis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Poa;Poa trivialis;1;
